Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,Debt_to_Equity,Total Assets,Cash,Goodwill & Intangible,Net Income,Return_on_TangibleAssets
OLBK,"Old Line Bancshares, Inc.","Old Line Bancshares, Inc. - Common Stock",S,N,N,100,0.6114040093134793,3096837944.0,47001316.0,108069056.0,27217692.0,0.009252155832792626
OLED,Universal Display Corporation,Universal Display Corporation - Common Stock,Q,N,N,100,0.0250798724075635,1062550000.0,235541000.0,111454000.0,58840000.0,0.08222987750766887
OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. - American Depositary Shares each representing 8 Series B shares,Q,N,N,100,0.0,808288000.0,197909782.147,1211554.5979,146131581.6327,0.23988768665022084
OMCL,"Omnicell, Inc.","Omnicell, Inc. - Common Stock",Q,N,N,100,0.0675536584269344,1240810000.0,127200000.0,461406000.0,61338000.0,0.094047261286346
OMED,"OncoMed Pharmaceuticals, Inc.","OncoMed Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,0.08506976840621178,65078000.0,9686000.0,0.0,-8101000.0,-0.14624855574812248
OMER,Omeros Corporation,Omeros Corporation - Common Stock,G,N,N,100,-1.4833564175709266,136969000.0,3100000.0,0.0,-84486000.0,-0.63110951751339
OMEX,"Odyssey Marine Exploration, Inc.","Odyssey Marine Exploration, Inc. - Common Stock",S,N,N,100,-0.025404189524638614,5329720.0,203254.0,0.0,-10439961.0,-2.0364830274891124
ONB,Old National Bancorp,Old National Bancorp - Common Stock,Q,N,N,100,0.7069768016578818,20438788000.0,420250000.0,1101045000.0,190830000.0,0.010087488865464362
ONCY,"Oncolytics Biotech, Inc.","Oncolytics Biotech, Inc. - Common Shares",S,N,D,100,0.0,0.0,0.0,0.0,-12620166.6667,-inf
ONEQ,Fidelity Nasdaq Composite Index Tracking Stock,Fidelity Nasdaq Composite Index Tracking Stock,G,N,N,100,0.0,0.0,0.0,0.0,0.0,
ONFC,Oneida Financial Corp.,Oneida Financial Corp. - Common Stock,G,N,N,100,0.0,0.0,0.0,0.0,0.0,
ONNN,ON Semiconductor Corporation,ON Semiconductor Corporation - Common Stock,Q,N,N,100,0.0,0.0,0.0,0.0,0.0,
ONTX,"Onconova Therapeutics, Inc.","Onconova Therapeutics, Inc. - Common Stock",Q,N,N,100,0.3192500432002765,23674000.0,22726000.0,0.0,-21503000.0,-22.682489451476794
ONTY,Oncothyreon Inc.,Oncothyreon Inc. - Common Shares,Q,N,N,100,0.0,0.0,0.0,0.0,0.0,
ONVI,"Onvia, Inc.","Onvia, Inc. - Common Stock",S,N,N,100,0.24357353560893383,14384000.0,782000.0,0.0,-813000.0,-0.05977062196735774
OPB,Opus Bank,Opus Bank - Common Stock,Q,N,N,100,0.0,14384000.0,782000.0,0.0,0.0,0.0
OPHC,"OptimumBank Holdings, Inc.","OptimumBank Holdings, Inc. - Common Stock",S,N,N,100,1.4308311363951713,126748000.0,10000.0,0.0,-1100000.0,-0.008679322697217882
OPHT,Ophthotech Corporation,Ophthotech Corporation - Common Stock,Q,N,N,100,0.0,0.0,0.0,0.0,63000000.0,inf
OPOF,Old Point Financial Corporation,Old Point Financial Corporation - Common Stock,S,N,N,100,0.4414519479572871,1054488000.0,89865000.0,2013000.0,7860000.0,0.008165300589023592
OPTT,"Ocean Power Technologies, Inc.","Ocean Power Technologies, Inc. - Common Stock",G,N,N,100,0.13924698178841824,13756000.0,9877000.0,0.0,-12246000.0,-3.1569992266047953
